Wavelength 	T%
3000	0,0001
3010	0,0001
3020	0,0011
3030	0,0038
3040	0,0059
3050	0,0066
3060	0,0032
3070	0,0026
3080	0,0011
3090	0,0056
3100	0,0035
3110	0,0052
3120	0,0033
3130	0,0019
3140	-0,0016
3150	-0,0014
3160	0,0002
3170	0,0024
3180	0,0032
3190	0,0058
3200	0,0068
3210	0,0058
3220	0,0046
3230	0,0042
3240	0,0015
3250	-0,0022
3260	-0,0033
3270	-0,002
3280	0,0011
3290	-0,0007
3300	0,0026
3310	0,0026
3320	0,0051
3330	0,0041
3340	0,0027
3350	0,0005
3360	-0,0012
3370	-0,0005
3380	0,0026
3390	0,0029
3400	0,0045
3410	0,0058
3420	0,0056
3430	0,0047
3440	0,0031
3450	0,0032
3460	0,0018
3470	0,0011
3480	0,0008
3490	0,0031
3500	0,0042
3510	0,005
3520	0,0043
3530	0,004
3540	0,0042
3550	0,0067
3560	0,0078
3570	0,0082
3580	0,0089
3590	0,0107
3600	0,016
3610	0,0201
3620	0,0221
3630	0,0229
3640	0,0247
3650	0,0327
3660	0,0409
3670	0,0505
3680	0,0599
3690	0,0664
3700	0,0777
3710	0,0905
3720	0,1083
3730	0,1221
3740	0,1377
3750	0,1585
3760	0,1845
3770	0,2143
3780	0,2455
3790	0,2818
3800	0,3193
3810	0,3614
3820	0,4072
3830	0,4581
3840	0,515
3850	0,5786
3860	0,6506
3870	0,7321
3880	0,8234
3890	0,927
3900	1,0487
3910	1,1911
3920	1,3581
3930	1,5483
3940	1,7688
3950	2,022
3960	2,3167
3970	2,6625
3980	3,07
3990	3,5467
4000	4,1128
4010	4,7833
4020	5,5832
4030	6,5264
4040	7,644
4050	8,9578
4060	10,4938
4070	12,2653
4080	14,2923
4090	16,5733
4100	19,1275
4110	21,9216
4120	24,9624
4130	28,2265
4140	31,6885
4150	35,2347
4160	38,8294
4170	42,4614
4180	46,0898
4190	49,6167
4200	53,0739
4210	56,4526
4220	59,7964
4230	63,0592
4240	66,2989
4250	69,5041
4260	72,5884
4270	75,4442
4280	77,9925
4290	80,157
4300	81,9309
4310	83,2899
4320	84,2631
4330	84,8747
4340	85,1695
4350	85,2075
4360	85,0578
4370	84,7836
4380	84,4435
4390	84,0739
4400	83,6919
4410	83,305
4420	82,9342
4430	82,5627
4440	82,2053
4450	81,8333
4460	81,4662
4470	81,0987
4480	80,738
4490	80,4216
4500	80,1576
4510	79,9776
4520	79,9012
4530	79,9348
4540	80,0855
4550	80,3472
4560	80,7234
4570	81,1999
4580	81,7559
4590	82,3743
4600	83,0247
4610	83,6816
4620	84,3233
4630	84,9429
4640	85,5208
4650	86,0243
4660	86,4875
4670	86,8819
4680	87,2489
4690	87,5399
4700	87,8136
4710	88,0613
4720	88,2958
4730	88,5162
4740	88,7234
4750	88,9087
4760	89,0464
4770	89,1527
4780	89,2106
4790	89,2187
4800	89,1485
4810	89,0228
4820	88,838
4830	88,5802
4840	88,2697
4850	87,8959
4860	87,4993
4870	87,0739
4880	86,6472
4890	86,2358
4900	85,8426
4910	85,4875
4920	85,1762
4930	84,926
4940	84,7438
4950	84,6238
4960	84,5846
4970	84,6252
4980	84,7479
4990	84,9542
5000	85,237
5010	85,5659
5020	85,9168
5030	86,2756
5040	86,6274
5050	86,943
5060	87,2234
5070	87,4462
5080	87,6063
5090	87,665
5100	87,6709
5110	87,5758
5120	87,4234
5130	87,1659
5140	86,8665
5150	86,5015
5160	86,1018
5170	85,6627
5180	85,2124
5190	84,7536
5200	84,3126
5210	83,9093
5220	83,5471
5230	83,2448
5240	82,9939
5250	82,8417
5260	82,7652
5270	82,7578
5280	82,8202
5290	82,9642
5300	83,1839
5310	83,463
5320	83,7905
5330	84,1635
5340	84,5674
5350	84,9764
5360	85,4029
5370	85,8236
5380	86,2219
5390	86,592
5400	86,8929
5410	87,1452
5420	87,3186
5430	87,4408
5440	87,4689
5450	87,4276
5460	87,3155
5470	87,1611
5480	86,9663
5490	86,7361
5500	86,4969
5510	86,2495
5520	86,0219
5530	85,8256
5540	85,6762
5550	85,5726
5560	85,5293
5570	85,5338
5580	85,6051
5590	85,7333
5600	85,9256
5610	86,1534
5620	86,4198
5630	86,7079
5640	87,0035
5650	87,2834
5660	87,5367
5670	87,7484
5680	87,905
5690	87,9697
5700	87,9502
5710	87,8249
5720	87,6133
5730	87,3037
5740	86,9068
5750	86,4329
5760	85,8996
5770	85,3116
5780	84,6708
5790	84,0082
5800	83,3426
5810	82,6971
5820	82,0867
5830	81,519
5840	81,026
5850	80,6083
5860	80,3012
5870	80,0854
5880	79,9617
5890	79,9244
5900	79,9948
5910	80,154
5920	80,4032
5930	80,6991
5940	81,0514
5950	81,4352
5960	81,8499
5970	82,2656
5980	82,6553
5990	82,9858
6000	83,2508
6010	83,4231
6020	83,4851
6030	83,4254
6040	83,2414
6050	82,9207
6060	82,4541
6070	81,8354
6080	81,0944
6090	80,2285
6100	79,2719
6110	78,2158
6120	77,0883
6130	75,9203
6140	74,749
6150	73,595
6160	72,469
6170	71,3716
6180	70,3397
6190	69,3938
6200	68,5622
6210	67,8368
6220	67,2103
6230	66,7172
6240	66,346
6250	66,1206
6260	66,0295
6270	66,1008
6280	66,3226
6290	66,304
6300	67,3279
6310	66,451
6320	66,532
6330	67,9483
6340	69,2263
6350	72,7614
6360	74,5528
6370	77,0013
6380	71,7438
6390	65,7401
6400	61,3219
6410	61,1835
6420	57,5001
6430	60,9919
6440	50,6101
6450	44,3178
6460	29,7528
6470	27,8789
6480	24,1536
6490	19,9653
6500	16,4342
6510	13,3966
6520	10,8998
6530	8,8155
6540	7,1175
6550	5,7407
6560	4,6382
6570	3,7715
6580	3,0857
6590	2,5518
6600	2,1336
6610	1,8004
6620	1,5345
6630	1,3163
6640	1,1356
6650	0,9832
6660	0,8515
6670	0,7332
6680	0,6301
6690	0,5416
6700	0,4688
6710	0,4054
6720	0,3522
6730	0,3064
6740	0,269
6750	0,2363
6760	0,2105
6770	0,1864
6780	0,1658
6790	0,1454
6800	0,1297
6810	0,1187
6820	0,1068
6830	0,0969
6840	0,0865
6850	0,0786
6860	0,0715
6870	0,0643
6880	0,0578
6890	0,0534
6900	0,0495
6910	0,0464
6920	0,0424
6930	0,0384
6940	0,0353
6950	0,0331
6960	0,0312
6970	0,0303
6980	0,0281
6990	0,0266
7000	0,0237
7010	0,0213
7020	0,0199
7030	0,0178
7040	0,0182
7050	0,0169
7060	0,0165
7070	0,0146
7080	0,0137
7090	0,0144
7100	0,0142
7110	0,0134
7120	0,0115
7130	0,0109
7140	0,0101
7150	0,0111
7160	0,0114
7170	0,0107
7180	0,0088
7190	0,0074
7200	0,0079
7210	0,0096
7220	0,01
7230	0,0099
7240	0,0094
7250	0,0095
7260	0,0097
7270	0,009
7280	0,0083
7290	0,0071
7300	0,0077
7310	0,008
7320	0,0082
7330	0,006
7340	0,0056
7350	0,0063
7360	0,0073
7370	0,0065
7380	0,0049
7390	0,0058
7400	0,0055
7410	0,008
7420	0,0072
7430	0,0064
7440	0,0042
7450	0,0043
7460	0,0069
7470	0,0078
7480	0,0058
7490	0,0039
7500	0,0043
7510	0,0048
7520	0,0042
7530	0,005
7540	0,006
7550	0,0071
7560	0,0048
7570	0,0035
7580	0,0023
7590	0,0025
7600	0,0041
7610	0,0066
7620	0,0077
7630	0,0073
7640	0,0058
7650	0,0056
7660	0,0051
7670	0,006
7680	0,0067
7690	0,0069
7700	0,0058
7710	0,0029
7720	0,0034
7730	0,0019
7740	0,004
7750	0,0046
7760	0,0053
7770	0,0035
7780	0,0029
7790	0,0036
7800	0,002
7810	0,0012
7820	0,0015
7830	0,0049
7840	0,005
7850	0,0044
7860	0,005
7870	0,0042
7880	0,0058
7890	0,005
7900	0,0056
7910	0,0046
7920	0,004
7930	0,0044
7940	0,0041
7950	0,0034
7960	0,0022
7970	0,0017
7980	0,002
7990	0,0025
8000	0,0023
8010	0,0042
8020	0,0052
8030	0,0063
8040	0,005
8050	0,0056
8060	0,0057
8070	0,0052
8080	0,0048
8090	0,0002
8100	-0,0087
8110	-0,0234
8120	-0,0424
8130	-0,0667
8140	-0,1015
8150	-0,1519
8160	-0,2214
8170	-0,3185
8180	-0,4442
8190	-0,6102
8200	-0,8224
8210	-1,0878
8220	-1,411
8230	-1,797
8240	-2,2472
8250	-2,7627
8260	-3,3369
8270	-3,9655
8280	-4,6359
8290	-5,3402
8300	-6,0575
8310	-6,7774
8320	-7,4774
8330	-8,1484
8340	-8,772
8350	-9,3406
8360	-9,8538
8370	-10,3048
8380	-10,6977
8390	-11,0222
8400	-11,2901
8410	-11,4994
8420	-11,6665
8430	-11,7937
8440	-11,8875
8450	-11,9515
8460	-12,0008
8470	-12,0365
8480	-12,0617
8490	-12,0741
8500	-12,0925
8510	-12,1044
8520	-12,1064
8530	-12,0997
8540	-12,1011
8550	-12,1023
8560	-12,1002
8570	-12,1058
8580	-12,1025
8590	-12,1047
8600	-12,0813
8610	-12,0819
8620	-12,0754
8630	-12,0807
8640	-12,0709
8650	-12,0646
8660	-12,0609
8670	-12,0548
8680	-12,0488
8690	-12,0364
8700	-12,031
8710	-12,0213
8720	-12,01
8730	-11,9981
8740	-11,9817
8750	-11,9617
8760	-11,9329
8770	-11,8978
8780	-11,8519
8790	-11,7977
8800	-11,7325
8810	-11,6631
8820	-11,5898
8830	-11,5226
8840	-11,4671
8850	-11,4298
