Wavelength 	T%
3000	0,0094
3010	0,0033
3020	0,0038
3030	0,0114
3040	0,013
3050	0,0117
3060	0,0141
3070	0,0232
3080	0,0264
3090	0,0374
3100	0,0445
3110	0,0596
3120	0,0673
3130	0,0837
3140	0,1052
3150	0,1374
3160	0,1746
3170	0,2245
3180	0,2808
3190	0,3502
3200	0,4319
3210	0,5358
3220	0,6574
3230	0,8133
3240	0,9978
3250	1,2357
3260	1,51
3270	1,8433
3280	2,2274
3290	2,6583
3300	3,1355
3310	3,6808
3320	4,276
3330	4,9591
3340	5,7039
3350	6,5219
3360	7,3655
3370	8,2417
3380	9,1763
3390	10,1476
3400	11,1622
3410	12,2048
3420	13,3058
3430	14,4523
3440	15,6042
3450	16,7678
3460	17,9555
3470	19,1604
3480	20,419
3490	21,6822
3500	22,9591
3510	24,2665
3520	25,603
3530	26,9931
3540	28,3677
3550	29,7844
3560	31,2394
3570	32,7515
3580	34,2698
3590	35,8344
3600	37,4828
3610	39,1516
3620	40,8545
3630	42,5321
3640	44,2351
3650	45,9238
3660	47,6029
3670	49,3437
3680	51,0806
3690	52,8186
3700	54,5597
3710	56,2987
3720	58,0127
3730	59,6505
3740	61,2868
3750	62,917
3760	64,5104
3770	65,9985
3780	67,4845
3790	68,9324
3800	70,3974
3810	71,813
3820	73,1828
3830	74,5799
3840	75,8921
3850	77,1678
3860	78,3789
3870	79,5774
3880	80,7523
3890	81,8574
3900	82,9042
3910	83,9036
3920	84,8293
3930	85,7473
3940	86,6212
3950	87,4817
3960	88,2731
3970	88,995
3980	89,7136
3990	90,3724
4000	91,0835
4010	91,6141
4020	92,1971
4030	92,7091
4040	93,2553
4050	93,7059
4060	94,1583
4070	94,5839
4080	94,9993
4090	95,2993
4100	95,6126
4110	95,9236
4120	96,2225
4130	96,5116
4140	96,7333
4150	96,9516
4160	97,1352
4170	97,3171
4180	97,5013
4190	97,6771
4200	97,8318
4210	97,9876
4220	98,1246
4230	98,2479
4240	98,3586
4250	98,4548
4260	98,5724
4270	98,6746
4280	98,7654
4290	98,8246
4300	98,8372
4310	98,8814
4320	98,8916
4330	98,9576
4340	99,0222
4350	99,058
4360	99,0999
4370	99,1311
4380	99,17
4390	99,1256
4400	99,1569
4410	99,1662
4420	99,232
4430	99,2097
4440	99,2087
4450	99,2509
4460	99,2663
4470	99,3014
4480	99,2662
4490	99,2573
4500	99,2488
4510	99,243
4520	99,2645
4530	99,2847
4540	99,2937
4550	99,2848
4560	99,2884
4570	99,312
4580	99,3231
4590	99,3122
4600	99,2923
4610	99,2565
4620	99,2418
4630	99,2325
4640	99,228
4650	99,2173
4660	99,2127
4670	99,2316
4680	99,2551
4690	99,2537
4700	99,2308
4710	99,2017
4720	99,2105
4730	99,183
4740	99,1943
4750	99,192
4760	99,233
4770	99,2287
4780	99,1981
4790	99,1813
4800	99,1721
4810	99,2002
4820	99,1752
4830	99,1653
4840	99,1477
4850	99,1236
4860	99,1312
4870	99,1242
4880	99,1515
4890	99,1259
4900	99,1064
4910	99,0982
4920	99,074
4930	99,0531
4940	99,0635
4950	99,0819
4960	99,0803
4970	99,0453
4980	99,0479
4990	99,0364
5000	99,0932
5010	99,074
5020	99,1121
5030	99,0523
5040	99,0478
5050	99,024
5060	99,0347
5070	99,0107
5080	99,0149
5090	98,9651
5100	99,0133
5110	98,9869
5120	99,0116
5130	98,99
5140	98,9968
5150	99,027
5160	99,0289
5170	99,0867
5180	99,0434
5190	99,022
5200	98,9661
5210	98,9616
5220	98,9419
5230	98,9309
5240	98,9518
5250	98,9865
5260	98,9778
5270	98,9773
5280	98,9594
5290	98,958
5300	98,906
5310	98,9205
