Wavelength 	T%
3000	-0,0014
3010	-0,0037
3020	-0,0095
3030	-0,0091
3040	-0,0073
3050	-0,005
3060	-0,0014
3070	-0,0054
3080	-0,005
3090	-0,0045
3100	0,001
3110	0,0008
3120	0,0008
3130	0,0001
3140	0,0036
3150	0,0032
3160	0,0025
3170	0,0009
3180	0,0054
3190	0,0071
3200	0,0057
3210	0,0046
3220	0,0043
3230	0,0106
3240	0,0057
3250	0,0042
3260	-0,0012
3270	0,006
3280	0,01
3290	0,0141
3300	0,0125
3310	0,0071
3320	0,0025
3330	0,0003
3340	0,003
3350	0,005
3360	0,0081
3370	0,005
3380	0,001
3390	-0,0013
3400	-0,0031
3410	-0,0006
3420	0,0045
3430	0,0133
3440	0,0172
3450	0,0228
3460	0,035
3470	0,0632
3480	0,0985
3490	0,1519
3500	0,2257
3510	0,3245
3520	0,4604
3530	0,6392
3540	0,8588
3550	1,1143
3560	1,3809
3570	1,6438
3580	1,8547
3590	2,0008
3600	2,0656
3610	2,0705
3620	2,0208
3630	1,9187
3640	1,7562
3650	1,5526
3660	1,291
3670	1,0028
3680	0,7143
3690	0,4715
3700	0,2763
3710	0,1364
3720	0,0536
3730	0,023
3740	0,007
3750	0,0032
3760	0,0002
3770	-0,001
3780	-0,0017
3790	-0,0028
3800	-0,0031
3810	-0,0022
3820	0,0006
3830	0,0012
3840	0,0005
3850	0,0033
3860	0,0083
3870	0,0044
3880	0,0002
3890	-0,0042
3900	0,0055
3910	0,009
3920	0,0098
3930	0,0001
3940	-0,0028
3950	-0,0069
3960	-0,001
3970	-0,0002
3980	0,0078
3990	0,0129
4000	0,0364
4010	0,0759
4020	0,1466
4030	0,2278
4040	0,3169
4050	0,396
4060	0,4623
4070	0,5119
4080	0,5378
4090	0,5508
4100	0,5503
4110	0,5491
4120	0,5478
4130	0,549
4140	0,5479
4150	0,5501
4160	0,5564
4170	0,5714
4180	0,5826
4190	0,5995
4200	0,6104
4210	0,628
4220	0,6439
4230	0,6562
4240	0,6601
4250	0,6607
4260	0,6621
4270	0,656
4280	0,6437
4290	0,6277
4300	0,6171
4310	0,6064
4320	0,5937
4330	0,5768
4340	0,5577
4350	0,547
4360	0,5387
4370	0,5318
4380	0,5313
4390	0,5397
4400	0,553
4410	0,5647
4420	0,5875
4430	0,6224
4440	0,6651
4450	0,7244
4460	0,7983
4470	0,9002
4480	1,0161
4490	1,1576
4500	1,322
4510	1,4984
4520	1,6727
4530	1,8163
4540	1,9141
4550	1,9434
4560	1,8961
4570	1,7775
4580	1,6101
4590	1,4196
4600	1,2305
4610	1,0503
4620	0,8869
4630	0,7461
4640	0,632
4650	0,5441
4660	0,474
4670	0,4229
4680	0,3803
4690	0,3453
4700	0,3123
4710	0,2843
4720	0,2614
4730	0,2441
4740	0,2341
4750	0,2243
4760	0,2156
4770	0,2069
4780	0,2042
4790	0,2016
4800	0,1987
4810	0,1967
4820	0,1975
4830	0,2011
4840	0,2033
4850	0,2089
4860	0,2129
4870	0,2201
4880	0,2251
4890	0,2321
4900	0,2408
4910	0,2516
4920	0,266
4930	0,2811
4940	0,2946
4950	0,311
4960	0,3266
4970	0,3436
4980	0,3581
4990	0,3713
5000	0,3869
5010	0,4011
5020	0,4188
5030	0,4332
5040	0,448
5050	0,4579
5060	0,469
5070	0,476
5080	0,4805
5090	0,4773
5100	0,4779
5110	0,4749
5120	0,4723
5130	0,4621
5140	0,4542
5150	0,4446
5160	0,4387
5170	0,426
5180	0,4186
5190	0,4073
5200	0,3995
5210	0,3915
5220	0,3825
5230	0,3796
5240	0,3707
5250	0,3658
5260	0,3594
5270	0,3594
5280	0,3601
5290	0,3634
5300	0,3633
5310	0,3604
5320	0,357
5330	0,3576
5340	0,3617
5350	0,3626
5360	0,3682
5370	0,3743
5380	0,3843
5390	0,3925
5400	0,402
5410	0,4066
5420	0,4145
5430	0,4252
5440	0,4366
5450	0,4479
5460	0,4649
5470	0,4814
5480	0,5011
5490	0,5098
5500	0,5295
5510	0,5479
5520	0,574
5530	0,598
5540	0,6194
5550	0,6421
5560	0,6686
5570	0,6954
5580	0,7216
5590	0,7536
5600	0,7877
5610	0,8279
5620	0,862
5630	0,8968
5640	0,9274
5650	0,971
5660	1,0112
5670	1,0604
5680	1,1042
5690	1,1623
5700	1,2164
5710	1,262
5720	1,3132
5730	1,3683
5740	1,4371
5750	1,4991
5760	1,5684
5770	1,6333
5780	1,7038
5790	1,7798
5800	1,8651
5810	1,9564
5820	2,0422
5830	2,135
5840	2,2317
5850	2,3402
5860	2,4532
5870	2,5732
5880	2,7045
5890	2,8354
5900	2,9794
5910	3,1306
5920	3,2963
5930	3,4715
5940	3,6564
5950	3,8481
